"project","class","year","area_ha","type"
"cmari","Cropland",2017,215523,"vocation"
"cmari","Water bodies",2017,19309,"vocation"
"cmari","Forest",2017,1800706,"vocation"
"cmari","Forest",2001,2012706,"landuse"
"cmari","Savanna",2001,3935,"landuse"
"cmari","Grassland",2001,3969,"landuse"
"cmari","Wetland",2001,12429,"landuse"
"cmari","Urban",2001,6,"landuse"
"cmari","Water bodies",2001,2493,"landuse"
"cmari","Forest",2002,2013062,"landuse"
"cmari","Savanna",2002,3221,"landuse"
"cmari","Grassland",2002,4444,"landuse"
"cmari","Wetland",2002,12312,"landuse"
"cmari","Urban",2002,6,"landuse"
"cmari","Water bodies",2002,2493,"landuse"
"cmari","Forest",2003,2012417,"landuse"
"cmari","Savanna",2003,2968,"landuse"
"cmari","Grassland",2003,4677,"landuse"
"cmari","Wetland",2003,12977,"landuse"
"cmari","Urban",2003,6,"landuse"
"cmari","Water bodies",2003,2493,"landuse"
"cmari","Forest",2004,2012205,"landuse"
"cmari","Savanna",2004,2652,"landuse"
"cmari","Grassland",2004,4727,"landuse"
"cmari","Wetland",2004,13455,"landuse"
"cmari","Urban",2004,6,"landuse"
"cmari","Water bodies",2004,2493,"landuse"
"cmari","Forest",2005,2012135,"landuse"
"cmari","Savanna",2005,2526,"landuse"
"cmari","Grassland",2005,4568,"landuse"
"cmari","Wetland",2005,13810,"landuse"
"cmari","Urban",2005,6,"landuse"
"cmari","Water bodies",2005,2493,"landuse"
"cmari","Forest",2006,2012060,"landuse"
"cmari","Savanna",2006,2290,"landuse"
"cmari","Grassland",2006,4668,"landuse"
"cmari","Wetland",2006,14021,"landuse"
"cmari","Urban",2006,6,"landuse"
"cmari","Water bodies",2006,2493,"landuse"
"cmari","Forest",2007,2012049,"landuse"
"cmari","Savanna",2007,2066,"landuse"
"cmari","Grassland",2007,4912,"landuse"
"cmari","Wetland",2007,14012,"landuse"
"cmari","Urban",2007,6,"landuse"
"cmari","Water bodies",2007,2493,"landuse"
"cmari","Forest",2008,2012383,"landuse"
"cmari","Savanna",2008,1987,"landuse"
"cmari","Grassland",2008,4707,"landuse"
"cmari","Wetland",2008,13962,"landuse"
"cmari","Urban",2008,6,"landuse"
"cmari","Water bodies",2008,2493,"landuse"
"cmari","Forest",2009,2012658,"landuse"
"cmari","Savanna",2009,1932,"landuse"
"cmari","Grassland",2009,4573,"landuse"
"cmari","Wetland",2009,13876,"landuse"
"cmari","Urban",2009,6,"landuse"
"cmari","Water bodies",2009,2493,"landuse"
"cmari","Forest",2010,2012731,"landuse"
"cmari","Savanna",2010,1966,"landuse"
"cmari","Grassland",2010,4471,"landuse"
"cmari","Wetland",2010,13871,"landuse"
"cmari","Urban",2010,6,"landuse"
"cmari","Water bodies",2010,2493,"landuse"
"cmari","Forest",2011,2012757,"landuse"
"cmari","Savanna",2011,1887,"landuse"
"cmari","Grassland",2011,4696,"landuse"
"cmari","Wetland",2011,13699,"landuse"
"cmari","Urban",2011,6,"landuse"
"cmari","Water bodies",2011,2493,"landuse"
"cmari","Forest",2012,2012600,"landuse"
"cmari","Savanna",2012,1898,"landuse"
"cmari","Grassland",2012,4815,"landuse"
"cmari","Wetland",2012,13726,"landuse"
"cmari","Urban",2012,6,"landuse"
"cmari","Water bodies",2012,2493,"landuse"
"cmari","Forest",2013,2012309,"landuse"
"cmari","Savanna",2013,1708,"landuse"
"cmari","Grassland",2013,5114,"landuse"
"cmari","Wetland",2013,13908,"landuse"
"cmari","Urban",2013,6,"landuse"
"cmari","Water bodies",2013,2493,"landuse"
"cmari","Forest",2014,2012125,"landuse"
"cmari","Savanna",2014,1489,"landuse"
"cmari","Grassland",2014,5380,"landuse"
"cmari","Wetland",2014,14045,"landuse"
"cmari","Urban",2014,6,"landuse"
"cmari","Water bodies",2014,2493,"landuse"
"cmari","Forest",2015,2011732,"landuse"
"cmari","Savanna",2015,1425,"landuse"
"cmari","Grassland",2015,5513,"landuse"
"cmari","Wetland",2015,14369,"landuse"
"cmari","Urban",2015,6,"landuse"
"cmari","Water bodies",2015,2493,"landuse"
"cmari","Forest",2016,2011347,"landuse"
"cmari","Savanna",2016,1419,"landuse"
"cmari","Grassland",2016,5534,"landuse"
"cmari","Wetland",2016,14739,"landuse"
"cmari","Urban",2016,6,"landuse"
"cmari","Water bodies",2016,2493,"landuse"
"cmari","Forest",2017,2011150,"landuse"
"cmari","Savanna",2017,1896,"landuse"
"cmari","Grassland",2017,4739,"landuse"
"cmari","Wetland",2017,15254,"landuse"
"cmari","Urban",2017,6,"landuse"
"cmari","Water bodies",2017,2493,"landuse"
"cmari","Forest",2018,2011572,"landuse"
"cmari","Savanna",2018,2380,"landuse"
"cmari","Grassland",2018,4259,"landuse"
"cmari","Wetland",2018,14828,"landuse"
"cmari","Urban",2018,6,"landuse"
"cmari","Water bodies",2018,2493,"landuse"
"cmari","Forest",2019,2012393,"landuse"
"cmari","Savanna",2019,2444,"landuse"
"cmari","Grassland",2019,3849,"landuse"
"cmari","Wetland",2019,14353,"landuse"
"cmari","Urban",2019,6,"landuse"
"cmari","Water bodies",2019,2493,"landuse"
"cmari","Forest",2020,2011625,"landuse"
"cmari","Savanna",2020,2755,"landuse"
"cmari","Grassland",2020,3970,"landuse"
"cmari","Wetland",2020,14689,"landuse"
"cmari","Urban",2020,6,"landuse"
"cmari","Water bodies",2020,2493,"landuse"
"crima-pred-putumay","Urban",2017,202,"vocation"
"crima-pred-putumay","Cropland",2017,359303,"vocation"
"crima-pred-putumay","Water bodies",2017,22714,"vocation"
"crima-pred-putumay","Forest",2017,1227618,"vocation"
"crima-pred-putumay","Forest",2001,1583287,"landuse"
"crima-pred-putumay","Schrub",2001,75,"landuse"
"crima-pred-putumay","Savanna",2001,636,"landuse"
